Cluster_ID,Longitude,Latitude,Number_Of_Points
535,-73.99659099999998,40.740374,16
535,-73.996594,40.740507,16
535,-73.996632,40.740492,16
535,-73.996334,40.740421,16
535,-73.996313,40.740434,16
535,-73.996729,40.740474,16
535,-73.996519,40.740246,16
535,-73.996179,40.740656,16
535,-73.996189,40.740194,16
535,-73.996223,40.740383,16
535,-73.99614599999998,40.740264,16
535,-73.99620799999998,40.74027,16
535,-73.996252,40.740481,16
535,-73.996194,40.740826,16
535,-73.996103,40.740733,16
535,-73.995811,40.740767,16
