Cluster_ID,Longitude,Latitude,Number_Of_Points
222,-73.989137,40.73666,32
222,-73.989137,40.73666,32
222,-73.988938,40.736588,32
222,-73.988994,40.736592,32
222,-73.98899799999998,40.736683,32
222,-73.98936299999998,40.73668,32
222,-73.988895,40.736605,32
222,-73.98887999999998,40.736638,32
222,-73.988971,40.736599,32
222,-73.989198,40.73657,32
222,-73.98904799999998,40.736387,32
222,-73.9889,40.736554,32
222,-73.988878,40.73658,32
222,-73.98894099999998,40.736641,32
222,-73.988956,40.736756,32
222,-73.988997,40.736613,32
222,-73.98925699999998,40.7368,32
222,-73.988838,40.736697,32
222,-73.98881699999998,40.736795,32
222,-73.988788,40.736662,32
222,-73.98886299999998,40.736797,32
222,-73.98883999999998,40.736827,32
222,-73.988675,40.73665,32
222,-73.98863299999998,40.736666,32
222,-73.988623,40.736552,32
222,-73.98859299999998,40.736558,32
222,-73.988662,40.7364,32
222,-73.98892499999998,40.737053,32
222,-73.988658,40.736912,32
222,-73.988664,40.736964,32
222,-73.988336,40.7367,32
222,-73.988529,40.736258,32
